Primary Key,Ancient Toponym,ModernToponym,Province,Country,,,,,Longitude (X),Latitude (Y),,,,,,,,,,,,,,,,,,
Hanson2016_51,Lilaea,Unknown,Achaea,Greece,,,,,22.509538,38.630415,,,,,,,,,,,,,,,,,,
Hanson2016_52,Lousoi,Lousoi,Achaea,Greece,,,,,22.116811,37.969025,,,,,,,,,,,,,,,,,,
Hanson2016_53,Lycosura,Lykosoura,Achaea,Greece,,,,,22.031019,37.389722,,,,,,,,,,,,,,,,,,
Hanson2016_54,Macynia,Paleokastro,Achaea,Greece,,,,,21.726328,38.355158,,,,,,,,,,,,,,,,,,
Hanson2016_55,Mantinea,Mantineia,Achaea,Greece,,,,,22.405305,37.642803,,,,,,,,,,,,,,,,,,
Hanson2016_56,Megalopolis,Sinánu,Achaea,Greece,,,,,22.136771,37.40225,,,,,,,,,,,,,,,,,,
Hanson2016_57,Megara,Megara,Achaea,Greece,,,,,23.344591,37.994845,,,,,,,,,,,,,,,,,,
Hanson2016_58,Melos,Unknown,Achaea,Greece,,,,,24.420716,36.733024,,,,,,,,,,,,,,,,,,
Hanson2016_59,Messene,Mavromati,Achaea,Greece,,,,,22.008029,37.051363,,,,,,,,,,,,,,,,,,
Hanson2016_60,Methone,Modon,Achaea,Greece,,,,,23.069231,39.327999,,,,,,,,,,,,,,,,,,
Hanson2016_61,Naryca,Rengini,Achaea,Greece,,,,,22.728224,38.717052,,,,,,,,,,,,,,,,,,
Hanson2016_62,Naxus,Kastro,Achaea,Greece,,,,,25.519984,36.995779,,,,,,,,,,,,,,,,,,
Hanson2016_63,Nea Pleuron,Pleuron,Achaea,Greece,,,,,21.41202,38.414861,,,,,,,,,,,,,,,,,,
Hanson2016_64,Neon,Velitsa,Achaea,Greece,,,,,22.66757,38.584053,,,,,,,,,,,,,,,,,,
Hanson2016_65,Nicopolis (Achaea),Palioprevesa,Achaea,Greece,,,,,20.733395,39.026505,,,,,,,,,,,,,,,,,,
Hanson2016_66,Oeniadae,Oiniadai,Achaea,Greece,,,,,21.212962,38.398985,,,,,,,,,,,,,,,,,,
Hanson2016_67,Onchesmus,Sarandë,Achaea,Albania,,,,,20.000687,39.869988,,,,,,,,,,,,,,,,,,
Hanson2016_68,Orchomenus Arcadicus,Kalpali,Achaea,Greece,,,,,22.31536,37.724716,,,,,,,,,,,,,,,,,,
Hanson2016_69,Orchomenus Minyeaus,Skripú,Achaea,Greece,,,,,22.981125,38.493255,,,,,,,,,,,,,,,,,,
Hanson2016_70,Oricus,Pascha Liman,Achaea,Albania,,,,,19.451817,40.323257,,,,,,,,,,,,,,,,,,
Hanson2016_71,Oropus,Skala Oropou,Achaea,Greece,,,,,23.775844,38.320255,,,,,,,,,,,,,,,,,,
Hanson2016_72,Paeania,Mastru?,Achaea,Greece,,,,,23.855299,37.958506,,,,,,,,,,,,,,,,,,
Hanson2016_73,Pallantium,Pallantion,Achaea,Greece,,,,,22.336587,37.462155,,,,,,,,,,,,,,,,,,
Hanson2016_74,Paros,Paroikia,Achaea,Greece,,,,,25.146409,37.076431,,,,,,,,,,,,,,,,,,
Hanson2016_75,Passaron,Radotovi,Achaea,Greece,,,,,20.752394,39.733007,,,,,,,,,,,,,,,,,,
Hanson2016_76,Patrae,Patrai,Achaea,Greece,,,,,21.737066,38.254465,,,,,,,,,,,,,,,,,,
Hanson2016_77,Pelinna,Palaiogardiki,Achaea,Greece,,,,,21.951944,39.576637,,,,,,,,,,,,,,,,,,
Hanson2016_78,Pellene,Zougra,Achaea,Greece,,,,,22.548344,38.043207,,,,,,,,,,,,,,,,,,
Hanson2016_79,Peparethum,Piperi,Achaea,Greece,,,,,23.719616,39.119096,,,,,,,,,,,,,,,,,,
Hanson2016_80,Phalanna,Karadjóli,Achaea,Greece,,,,,22.193106,39.708507,,,,,,,,,,,,,,,,,,
Hanson2016_81,Pharsalus,Farsala,Achaea,Greece,,,,,22.38454,39.293958,,,,,,,,,,,,,,,,,,
Hanson2016_82,Pheneus,Feneos,Achaea,Greece,,,,,22.295238,37.919454,,,,,,,,,,,,,,,,,,
Hanson2016_83,Pherae,Velestino,Achaea,Greece,,,,,22.753851,39.379043,,,,,,,,,,,,,,,,,,
Hanson2016_84,Phigalia,Phigaleia,Achaea,Greece,,,,,21.839109,37.39629,,,,,,,,,,,,,,,,,,
Hanson2016_85,Phlius,Phlius,Achaea,Greece,,,,,22.641069,37.831664,,,,,,,,,,,,,,,,,,
Hanson2016_86,Phoenice,Finike,Achaea,Albania,,,,,20.057993,39.913158,,,,,,,,,,,,,,,,,,
Hanson2016_87,Piraeus,Piraeus,Achaea,Greece,,,,,23.641103,37.950902,,,,,,,,,,,,,,,,,,
Hanson2016_88,Plataea,Plataea,Achaea,Greece,,,,,23.26689,38.215488,,,,,,,,,,,,,,,,,,
Hanson2016_89,Proerna,Gythokastro,Achaea,Greece,,,,,22.297255,39.241243,,,,,,,,,,,,,,,,,,
Hanson2016_90,Rhamnus,Rhamnous,Achaea,Greece,,,,,24.028009,38.222727,,,,,,,,,,,,,,,,,,
Hanson2016_91,Scotussa,Suplí,Achaea,Greece,,,,,22.574579,39.37552,,,,,,,,,,,,,,,,,,
Hanson2016_92,Sicyon,Basiliko,Achaea,Greece,,,,,22.726044,37.9799,,,,,,,,,,,,,,,,,,
Hanson2016_93,Sparta,Sparti,Achaea,Greece,,,,,22.432584,37.074301,,,,,,,,,,,,,,,,,,
Hanson2016_94,Stratus,Surovigli,Achaea,Greece,,,,,21.31366,38.666849,,,,,,,,,,,,,,,,,,
Hanson2016_95,Stymphalum,Stymphalos,Achaea,Greece,,,,,22.45934,37.859281,,,,,,,,,,,,,,,,,,
Hanson2016_96,Tanagra,Graimadha,Achaea,Greece,,,,,23.536834,38.32732,,,,,,,,,,,,,,,,,,
Hanson2016_97,Tegea,Alea,Achaea,Greece,,,,,22.417226,37.427653,,,,,,,,,,,,,,,,,,
Hanson2016_98,Teuthrone,Kotrónes,Achaea,Greece,,,,,22.489063,36.621145,,,,,,,,,,,,,,,,,,
Hanson2016_99,Thaumacia,Unknown,Achaea,Greece,,,,,22.321996,39.126554,,,,,,,,,,,,,,,,,,
Hanson2016_100,Thebae,Thebes,Achaea,Greece,,,,,23.317799,38.319077,,,,,,,,,,,,,,,,,,
Hanson2016_101,Thebae Phthiotides,Nea Anchialos,Achaea,Greece,,,,,22.762344,39.27303,,,,,,,,,,,,,,,,,,
Hanson2016_102,Thera,Thera,Achaea,Greece,,,,,25.474522,36.352514,,,,,,,,,,,,,,,,,,
Hanson2016_103,Thespiae,Thespiae,Achaea,Greece,,,,,23.150051,38.302836,,,,,,,,,,,,,,,,,,
Hanson2016_104,Thisbe,Thisvi,Achaea,Greece,,,,,22.967793,38.260887,,,,,,,,,,,,,,,,,,
Hanson2016_105,Thoricus,Velatouri,Achaea,Greece,,,,,24.053491,37.737524,,,,,,,,,,,,,,,,,,
Hanson2016_106,Thyrium,Unknown,Achaea,Greece,,,,,20.980902,38.854918,,,,,,,,,,,,,,,,,,
Hanson2016_107,Torybea,Torybeia,Achaea,Greece,,,,,21.726328,38.355158,,,,,,,,,,,,,,,,,,
Hanson2016_108,Troezen,Troizina,Achaea,Greece,,,,,23.362481,37.496574,,,,,,,,,,,,,,,,,,
Hanson2016_109,Zacynthus,Unknown,Achaea,Greece,,,,,20.892091,37.787178,,,,,,,,,,,,,,,,,,
Hanson2016_110,Alexandria (Aegyptus),Alexandria,Aegyptus,Egypt,,,,,29.903728,31.195024,,,,,,,,,,,,,,,,,,
Hanson2016_111,Antaeopolis,Qaw el Kebir,Aegyptus,Egypt,,,,,31.517443,26.899283,,,,,,,,,,,,,,,,,,
Hanson2016_112,Antinoopolis,Sheikh Abadah,Aegyptus,Egypt,,,,,30.875182,27.81166,,,,,,,,,,,,,,,,,,
Hanson2016_113,Aphroditopolis,El Gabalein,Aegyptus,Egypt,,,,,32.473946,25.369659,,,,,,,,,,,,,,,,,,
Hanson2016_114,Apollonopolis Magna,Kom Edfu,Aegyptus,Egypt,,,,,32.873294,24.979536,,,,,,,,,,,,,,,,,,
Hanson2016_115,Apollonopolis Parva,Kom Isfaht,Aegyptus,Egypt,,,,,32.710142,25.854554,,,,,,,,,,,,,,,,,,
Hanson2016_116,Arsinoe,Kom F?ris,Aegyptus,Egypt,,,,,30.75,29.250001,,,,,,,,,,,,,,,,,,
Hanson2016_117,Athribis,Tell Atrib,Aegyptus,Egypt,,,,,31.184479,30.47243,,,,,,,,,,,,,,,,,,
Hanson2016_118,Bubastis,Tell Basta,Aegyptus,Egypt,,,,,31.507263,30.576879,,,,,,,,,,,,,,,,,,
Hanson2016_119,Busiris,Abu Sir Bana,Aegyptus,Egypt,,,,,31.244444,30.911111,,,,,,,,,,,,,,,,,,
Hanson2016_120,Coptos,Kouft,Aegyptus,Egypt,,,,,32.815787,25.996402,,,,,,,,,,,,,,,,,,
Hanson2016_121,Cussae,El Qusiya,Aegyptus,Egypt,,,,,30.817992,27.438184,,,,,,,,,,,,,,,,,,
Hanson2016_122,Cynopolis,Al Quais?,Aegyptus,Egypt,,,,,30.782897,28.479496,,,,,,,,,,,,,,,,,,
Hanson2016_123,Diospolis Inferior,Tell el Balamun,Aegyptus,Egypt,,,,,31.566667,31.266667,,,,,,,,,,,,,,,,,,
Hanson2016_124,Diospolis Magna,Thebes,Aegyptus,Egypt,,,,,32.635592,25.685028,,,,,,,,,,,,,,,,,,
Hanson2016_125,Diospolis Parva,Hiw,Aegyptus,Egypt,,,,,32.312498,26.016881,,,,,,,,,,,,,,,,,,
Hanson2016_126,Elephantine,Aswan,Aegyptus,Egypt,,,,,32.933333,24.083333,,,,,,,,,,,,,,,,,,
Hanson2016_127,Heliopolis (Aegyptus),El Matariya,Aegyptus,Egypt,,,,,31.284786,30.131757,,,,,,,,,,,,,,,,,,
Hanson2016_128,Heracleopolis Magna,Ehnasya el Medina,Aegyptus,Egypt,,,,,30.934549,29.08554,,,,,,,,,,,,,,,,,,
Hanson2016_129,Heracleopolis Parva,Tell Belim,Aegyptus,Egypt,,,,,32.167572,30.982139,,,,,,,,,,,,,,,,,,
Hanson2016_130,Hermonthis,Armant,Aegyptus,Egypt,,,,,32.508054,25.55027,,,,,,,,,,,,,,,,,,
Hanson2016_131,Hermopolis Magna,El Ashmunein,Aegyptus,Egypt,,,,,30.803889,27.781389,,,,,,,,,,,,,,,,,,
Hanson2016_132,Hermopolis Parva,Unknown,Aegyptus,Egypt,,,,,30.470783,31.033655,,,,,,,,,,,,,,,,,,
Hanson2016_133,Heroonpolis,Tell el Maskhuta,Aegyptus,Egypt,,,,,32.099207,30.553048,,,,,,,,,,,,,,,,,,
Hanson2016_134,Hypselis,Shutb,Aegyptus,Egypt,,,,,31.234697,27.146592,,,,,,,,,,,,,,,,,,
Hanson2016_135,Latopolis,Esna,Aegyptus,Egypt,,,,,32.545454,25.273504,,,,,,,,,,,,,,,,,,
Hanson2016_136,Leontopolis,Tell el Moqdam,Aegyptus,Egypt,,,,,31.35,30.683333,,,,,,,,,,,,,,,,,,
Hanson2016_137,Letopolis,Ausim,Aegyptus,Egypt,,,,,31.133982,30.122346,,,,,,,,,,,,,,,,,,
Hanson2016_138,Lycopolis,Siout,Aegyptus,Egypt,,,,,31.183333,27.183333,,,,,,,,,,,,,,,,,,
Hanson2016_139,Memphis,Kom Rabia,Aegyptus,Egypt,,,,,31.255061,29.849491,,,,,,,,,,,,,,,,,,
Hanson2016_140,Mendes,Tell el Ruba,Aegyptus,Egypt,,,,,31.555712,30.966021,,,,,,,,,,,,,,,,,,
Hanson2016_141,Metelis,Tell Mutubis,Aegyptus,Egypt,,,,,30.375411,31.12039,,,,,,,,,,,,,,,,,,
Hanson2016_142,Nilopolis,Medinet el Fayum,Aegyptus,Egypt,,,,,30.84285,29.308402,,,,,,,,,,,,,,,,,,
Hanson2016_143,Ombos,Kom Ombo,Aegyptus,Egypt,,,,,33.512263,25.729386,,,,,,,,,,,,,,,,,,
Hanson2016_144,Oxyrhynchus,El Bahnasa,Aegyptus,Egypt,,,,,30.655336,28.535969,,,,,,,,,,,,,,,,,,
Hanson2016_145,Panopolis,Akhmim,Aegyptus,Egypt,,,,,31.75,26.566667,,,,,,,,,,,,,,,,,,
Hanson2016_146,Pelusium,Tell el Farama,Aegyptus,Egypt,,,,,32.600128,31.049917,,,,,,,,,,,,,,,,,,
Hanson2016_147,Phacus,Faqus,Aegyptus,Egypt,,,,,31.672165,30.720511,,,,,,,,,,,,,,,,,,
Hanson2016_148,Ptolemais (Aegyptus),El Manshah,Aegyptus,Egypt,,,,,31.8,26.483333,,,,,,,,,,,,,,,,,,
Hanson2016_149,Sais,Sa el Hagar,Aegyptus,Egypt,,,,,30.768333,30.964722,,,,,,,,,,,,,,,,,,
Hanson2016_150,Sebennytus,Samann?d,Aegyptus,Egypt,,,,,31.241003,30.960661,,,,,,,,,,,,,,,,,,
Hanson2016_151,Tanis,San el Hagar,Aegyptus,Egypt,,,,,31.874266,30.975841,,,,,,,,,,,,,,,,,,
Hanson2016_152,Tebtunis,Tell Umm el-Baragat,Aegyptus,Egypt,,,,,29.106896,30.761239,,,,,,,,,,,,,,,,,,
Hanson2016_153,Tentyris,Dandara,Aegyptus,Egypt,,,,,32.65,26.166667,,,,,,,,,,,,,,,,,,
Hanson2016_154,Thinis,El Birba,Aegyptus,Egypt,,,,,30.736688,27.774692,,,,,,,,,,,,,,,,,,
Hanson2016_155,Thmuis,Tell Timai,Aegyptus,Egypt,,,,,31.516856,30.935634,,,,,,,,,,,,,,,,,,
Hanson2016_156,Xois,Saha,Aegyptus,Egypt,,,,,30.937281,31.108961,,,,,,,,,,,,,,,,,,
Hanson2016_157,Abbir Maius,Henchir en Naam,Africa Proconsularis,Tunisia,,,,,10.008827,36.374,,,,,,,,,,,,,,,,,,
Hanson2016_158,Abitinae,Choud el Battan,Africa Proconsularis,Tunisia,,,,,9.549085,36.627875,,,,,,,,,,,,,,,,,,
Hanson2016_159,Abthungi,Henchir es Souar,Africa Proconsularis,Tunisia,,,,,10.019787,36.199895,,,,,,,,,,,,,,,,,,
Hanson2016_160,Acholla,Henchir Bou Tria,Africa Proconsularis,Tunisia,,,,,11.018733,35.07824,,,,,,,,,,,,,,,,,,
Hanson2016_161,Agbia,Henchir Ain Hedja,Africa Proconsularis,Tunisia,,,,,9.229926,36.391389,,,,,,,,,,,,,,,,,,
Hanson2016_162,Aggar,Henchir Sidi Amara,Africa Proconsularis,Tunisia,,,,,11.037149,35.489109,,,,,,,,,,,,,,,,,,
Hanson2016_163,Apisa Maius,Tarf ech Chena,Africa Proconsularis,Tunisia,,,,,9.722376,36.34713,,,,,,,,,,,,,,,,,,
Hanson2016_164,Aunobari,Henchir Kern el Kebch,Africa Proconsularis,Tunisia,,,,,9.153496,36.36639,,,,,,,,,,,,,,,,,,
Hanson2016_165,Avedda,Henchir Bedd,Africa Proconsularis,Tunisia,,,,,9.581767,36.795288,,,,,,,,,,,,,,,,,,
Hanson2016_166,Avitta,Henchir Bou Ftis,Africa Proconsularis,Tunisia,,,,,9.705949,36.409022,,,,,,,,,,,,,,,,,,
Hanson2016_167,Bararus,Henchir Rougga,Africa Proconsularis,Tunisia,,,,,10.791179,35.211896,,,,,,,,,,,,,,,,,,
Hanson2016_168,Belalis,Henchir el Faouar,Africa Proconsularis,Tunisia,,,,,9.470511,36.873925,,,,,,,,,,,,,,,,,,
Hanson2016_169,Bisica,Henchir Bijga,Africa Proconsularis,Tunisia,,,,,9.634267,36.397969,,,,,,,,,,,,,,,,,,
Hanson2016_170,Capsa,Gafsa,Africa Proconsularis,Tunisia,,,,,8.786674,34.418648,,,,,,,,,,,,,,,,,,
Hanson2016_171,Carpis,Mraissa,Africa Proconsularis,Tunisia,,,,,10.553122,36.765245,,,,,,,,,,,,,,,,,,
Hanson2016_172,Carthago,Tunis,Africa Proconsularis,Tunisia,,,,,10.327685,36.851318,,,,,,,,,,,,,,,,,,
Hanson2016_173,Chidibbia,Slouguia,Africa Proconsularis,Tunisia,,,,,9.512,36.5803,,,,,,,,,,,,,,,,,,
Hanson2016_174,Cillium,Kasserine,Africa Proconsularis,Tunisia,,,,,8.799233,35.167704,,,,,,,,,,,,,,,,,,
Hanson2016_175,Clupea,Kelibia,Africa Proconsularis,Tunisia,,,,,11.099916,36.849616,,,,,,,,,,,,,,,,,,
Hanson2016_176,Curubis,Korba,Africa Proconsularis,Tunisia,,,,,10.857137,36.57591,,,,,,,,,,,,,,,,,,
Hanson2016_177,Gigthis,Bou Grara,Africa Proconsularis,Tunisia,,,,,10.6795,33.5415,,,,,,,,,,,,,,,,,,
Hanson2016_178,Hadrumetum,Sousse,Africa Proconsularis,Tunisia,,,,,10.637607,35.824984,,,,,,,,,,,,,,,,,,
Hanson2016_179,Hippo Diarrhytus,Bizerte,Africa Proconsularis,Tunisia,,,,,9.8708,37.272,,,,,,,,,,,,,,,,,,
Hanson2016_180,Lepcis Magna,Lebda,Africa Proconsularis,Libya,,,,,14.29306,32.63833,,,,,,,,,,,,,,,,,,
Hanson2016_181,Leptiminus,Lemta,Africa Proconsularis,Tunisia,,,,,10.898,35.666,,,,,,,,,,,,,,,,,,
Hanson2016_182,Limisa,Ksar Lemsa,Africa Proconsularis,Tunisia,,,,,9.691873,36.035878,,,,,,,,,,,,,,,,,,
Hanson2016_183,Macomades,Merkeb-Talha,Africa Proconsularis,Libya,,,,,16.588338,31.205047,,,,,,,,,,,,,,,,,,
Hanson2016_184,Mactaris,Mactar,Africa Proconsularis,Tunisia,,,,,9.207183,35.853814,,,,,,,,,,,,,,,,,,
Hanson2016_185,Maraci,Ksar Toual Zammel,Africa Proconsularis,Tunisia,,,,,9.222873,36.029941,,,,,,,,,,,,,,,,,,
Hanson2016_186,Maxula,Radès,Africa Proconsularis,Tunisia,,,,,10.271569,36.768841,,,,,,,,,,,,,,,,,,
Hanson2016_187,Meninx,Bordj el Kantara,Africa Proconsularis,Tunisia,,,,,10.913075,33.688857,,,,,,,,,,,,,,,,,,
Hanson2016_188,Missua,Sidi Daoud,Africa Proconsularis,Tunisia,,,,,10.899956,36.999978,,,,,,,,,,,,,,,,,,
Hanson2016_189,Neapolis (Africa Proconsularis),Nabeul,Africa Proconsularis,Tunisia,,,,,10.73614,36.453512,,,,,,,,,,,,,,,,,,
Hanson2016_190,Numluli,Henchir el Maatria,Africa Proconsularis,Tunisia,,,,,9.210529,36.522784,,,,,,,,,,,,,,,,,,
Hanson2016_191,Oea,Tripoli,Africa Proconsularis,Libya,,,,,13.187507,32.876174,,,,,,,,,,,,,,,,,,
Hanson2016_192,Pheradi Maius,Sidi Khalifa,Africa Proconsularis,Tunisia,,,,,10.397071,36.249987,,,,,,,,,,,,,,,,,,
Hanson2016_193,Pupput,Henchir Souk el Abiod,Africa Proconsularis,Tunisia,,,,,10.562216,36.392998,,,,,,,,,,,,,,,,,,
Hanson2016_194,Sabratha,Sabrata,Africa Proconsularis,Libya,,,,,12.487045,32.804889,,,,,,,,,,,,,,,,,,
Hanson2016_195,Segermes,Henchir Harat,Africa Proconsularis,Tunisia,,,,,10.299662,36.344697,,,,,,,,,,,,,,,,,,
Hanson2016_196,Seressi,Henchir Oum el Abouab,Africa Proconsularis,Tunisia,,,,,9.773609,36.166741,,,,,,,,,,,,,,,,,,
Hanson2016_197,Sufes,Sbiba,Africa Proconsularis,Tunisia,,,,,9.074415,35.542707,,,,,,,,,,,,,,,,,,
Hanson2016_198,Sufetula,Sbeitla,Africa Proconsularis,Tunisia,,,,,9.118399,35.241664,,,,,,,,,,,,,,,,,,
Hanson2016_199,Tacapae,Gabès,Africa Proconsularis,Libya,,,,,14.5,32.5,,,,,,,,,,,,,,,,,,
Hanson2016_200,Thaenae,Henchir Thina,Africa Proconsularis,Tunisia,,,,,10.670659,34.655347,,,,,,,,,,,,,,,,,,
Hanson2016_201,Thapsus,Ras Dimas,Africa Proconsularis,Tunisia,,,,,11.0428,35.622788,,,,,,,,,,,,,,,,,,
Hanson2016_202,Thelepte,Thélepte,Africa Proconsularis,Tunisia,,,,,8.593867,34.975746,,,,,,,,,,,,,,,,,,
Hanson2016_203,Thibiuca,Henchir Zouitina,Africa Proconsularis,Tunisia,,,,,9.750001,36.750001,,,,,,,,,,,,,,,,,,
Hanson2016_204,Thigibba,Hamman Zouakra,Africa Proconsularis,Tunisia,,,,,9.25,35.75,,,,,,,,,,,,,,,,,,
Hanson2016_205,Thignica,Aïn Tounga,Africa Proconsularis,Tunisia,,,,,9.361747,36.52366,,,,,,,,,,,,,,,,,,
Hanson2016_206,Thisica,Aïn Tachegga,Africa Proconsularis,Tunisia,,,,,9.702008,37.003737,,,,,,,,,,,,,,,,,,
Hanson2016_207,Thuburbo Maius,Henchir Kasbat,Africa Proconsularis,Tunisia,,,,,9.904195,36.400856,,,,,,,,,,,,,,,,,,
Hanson2016_208,Thuburbo Minus,Tebourba,Africa Proconsularis,Tunisia,,,,,9.838642,36.829599,,,,,,,,,,,,,,,,,,
Hanson2016_209,Thubursicum Bure,Teboursouk,Africa Proconsularis,Tunisia,,,,,9.24443,36.461488,,,,,,,,,,,,,,,,,,
Hanson2016_210,Thugga,Dougga,Africa Proconsularis,Tunisia,,,,,9.2202,36.4237,,,,,,,,,,,,,,,,,,
Hanson2016_211,Thysdrus,El Djem,Africa Proconsularis,Tunisia,,,,,10.706969,35.294796,,,,,,,,,,,,,,,,,,
